img_url,title,text,url,คำอธิบาย,year,ภาษา,type_1,type_2,type_3
https://s.isanook.com/mv/0/ud/9/46329/1397263_302337246638583_6700215877977226051_o.jpg,จักรกลเปลี่ยนโลก,แนว sci-fi ดูได้ที่ apple tv,https://youtu.be/lyy7y0QOK-0,ในเวลาเพียงไม่กี่ปีนับจากนี้ โลกอยู่ภายใต้การควบคุมของหุ่นยนต์ตำรวจ ที่เรียกว่า สเกาท์ ในยามที่ทั้งเมืองอยู่ภายใต้การคุ้มครองของหุ่นยนต์ตำรวจ ก็เกิดสิ่งประดิษฐ์ใหม่ขึ้นมาในชื่อของ แชปปี้ (ชาร์ลโต คอปลีย์) หุ่นยนต์ตัวแรกที่สามารถคิดและมีความรู้สึกได้ แชปปี้ ที่เคยเป็นหุ่นยนต์ตำรวจ ถูกขโมยและป้อนวัตถุประสงค์ที่ต่างออกไปเข้าไป,2015,eng,ไซไฟ,,
https://upload.wikimedia.org/wikipedia/en/1/12/Pacific_Rim_-_Uprising_%282018_film%29.jpg,Pacific Rim 2 ,แนว sci-fi ดูได้ที่ apple tv,https://youtu.be/8BAhwgjMvnM,การต่อสู้ที่ครอบคลุมทั่วโลกระหว่างสัตว์ประหลาดจากนอกโลกที่มีพลังทำลายล้างสูงและสุดยอดเครื่องจักรกลที่ถูกสร้างขึ้นเพื่อกำจัดพวกมัน ภายใต้การควบคุมของมนุษย์เป็นเพียงปฐมบทที่นำไปสู่การโจมตีมนุษยชาติแบบเต็มพิกัดใน Pacific Rim Uprising,2018,eng,ไซไฟ,,
http://f.ptcdn.info/630/025/000/1416144985-MV5BMjIxNT-o.jpg,อินเตอร์สเตลลาร์ ทะยานดาวกู้โลก,แนว sci-fi ดูได้ที่ netflix,https://youtu.be/2LqzF5WauAw,เรื่องราวเกี่ยวกับทีมนักสำรวจกับภารกิจเดินทางสู่กาแล็กซีอันไกลโพ้นเพื่อค้นหาอาณานิคมบนดาวดวงใหม่ให้กับมวลมนุษยชาติเมื่อพิภพเข้าสู่ขั้นวิกฤต,2014,eng,ไซไฟ,,
https://s359.kapook.com/pagebuilder/5d7de77f-d275-4d05-9c4b-dcaf096d688a.jpg,ภารกิจตะลุยดาว,แนวsci-fi  ดูได้ที่ apple tv,https://youtu.be/K4oTFQ9CTrE,เรื่องราวของนักบินอวกาศ รอย แม็คไบรด์ ต้องรับหน้าที่ทำภารกิจสำคัญที่สุดในชีวิต นั่นก็คือการเดินทางข้ามระบบสุริยจักรวาล เพื่อตามหาพ่อผู้เป็นที่รักที่หายตัวไปอย่างลึกลับ ซึ่งสาเหตุนั้นอาจข้องเกี่ยวกับปริศนาที่ยังหาคำตอบไม่ได้ และเป็นความลับที่คุกคามการดำรงชีวิตอยู่ของมนุษยชาติบนโลกของเรา,2019,eng,ไซไฟ,,
https://cdn.majorcineplex.com/uploads/movie/2682/thumb_2682.jpg,นายโคตรแน่ ขอจีบตัวแม่หน่อย! ,แนวคอมเมดี้ ดูได้ที่ apple tv,https://youtu.be/S5jiaHvx-kY,เรื่องราวของ “เฟร็ด ฟลาร์สกี้” เป็นนักข่าวหัวขบถมากฝีมือที่มักจะแกว่งเท้าหาเสี้ยนตลอดเวลา เขาได้พบกับ “ชาร์ล็อตต์ ฟิลด์” หนึ่งในสตรีที่มีอิทธิพลที่สุดคนหนึ่งของโลก เธอเป็นนักการเมืองสาวที่ทั้งสวยทั้งฉลาด แต่ก่อนที่จะเป็นแบบที่เธอเป็นทุกวันนี้ เธอเคยเป็นพี่เลี้ยงของเฟร็ดมาก่อน แถมยังเป็นรักแรกของเฟร็ดด้วย เมื่อชาร์ล็อตต์ตัดสินใจลงสมัครตำแหน่งประธานาธิบดี เธอจ้างเฟร็ดมาเป็นคนร่างสุนทรพจน์ให้ การโคจรกลับมาเจอกันครั้งนี้ถือเป็นจุดเริ่มต้นของความฮา เมื่อทั้งคู่ต้องผจญภัยพร้อมกับรำลึกความหลังไปด้วยกัน,2019,eng,คอมเมดี้,,
https://www.themoviedb.org/t/p/original/aQvJ5WPzZgYVDrxLX4R6cLJCEaQ.jpg,Sonic the Hedgehog,แนวคอมเมดี้ ดูได้ที่ apple tv,https://youtu.be/a3V21RqV7y0,เรื่องราวของเม่นที่ว่องไวที่สุดในโลก เมื่อเขามาเยือนบ้านใหม่บนโลก ในภาพยนตร์ตลกแอ็คชั่นที่ใช้คนแสดง โซนิคและเพื่อนรักคนใหม่ของเขาอย่าง ทอม (เจมส์ มาร์สเดน) ต้องร่วมมือกันเพื่อปกป้องโลกให้พ้นจากอัจฉริยะผู้ชั่วร้าย ดร.โรบ็อทนิก (จิม แคร์รี่) และแผนการที่หวังจะครองโลกของเขา,2020,eng,คอมเมดี้,,
https://m.media-amazon.com/images/M/MV5BMmIxZWMxYjktZWY1OS00MWVkLTljZDQtYWMxYTdmOWY0NzM4XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_.jpg,feel the beat,แนวคอมเมดี้ ดูได้ที่่ netflix,https://youtu.be/PhLSDnxLp-M,หลังการออดิชั่นละครบรอดเวย์พังไม่เป็นท่า นักเต้นสาวสุดมั่นไม่แคร์ใครต้องจำใจกลับบ้านและรับงานฝึกสอนเหล่านักเต้นรุ่นเยาว์เปี่ยมความหวังเพื่อชิงชัยในการแข่งขันรายการใหญ่,2020,eng,คอมเมดี้,,
https://m.media-amazon.com/images/M/MV5BMTQ1OTU0ODcxMV5BMl5BanBnXkFtZTcwOTMxNTUwOA@@._V1_FMjpg_UX1000_.jpg,ted 1 ,แนวคอมเมดี้ แฟนตาซี ดูได้ที่ apple tv,https://youtu.be/1xSYmg_kpMY,เรื่องราวของหนุ่มหล่อล่ำ จอห์น เบนเน็ตต์ (มาร์ค วอห์ลเบิร์ก) ที่เจอภาวะจิตป่วนจากเจ้าตุ๊กตาหมีเท็ดดี้ ที่เป็นเพื่อนรักสมัยเด็ก แต่ดันมาพูดได้เหมือนคน ด้วยผลของคำอธิษฐานจากตอนเด็ก ๆ และนี่คือต้นเหตุของความปั่นป่วนที่เกิดขึ้นในชีวิตของเขา ทั้งเรื่องรัก เรื่องงาน และอีกสารพัดเรื่อง,2012,eng,คอมเมดี้,แฟนตาซี,
https://cdn.majorcineplex.com/uploads/movie/1417/thumb_1417.jpg,คู่สืบ คู่แสบ,แนวคอมเมดี้ แอคชัน ดูได้ที่ netflix,https://youtu.be/MxEw3elSJ8M,เรื่องราวของอดีตเด็กอ้วนสุดเฉิ่ม (ดเวย์น จอห์นสัน) ซึ่งปัจจุบันกลายมาเป็นเจ้าหน้าที่ซีไอเอ เขากลับมาร่วมงานคืนสู่เหย้าของโรงเรียน โดยมีเป้าหมายแอบแฝงคือมาขอให้อดีตพี่เบิ้มสุดป็อป (เควิน ฮาร์ท) ซึ่งตอนนี้เป็นนักบัญชี แต่ยังหวลคิดถึงอดีตอันรุ่งโรจน์ มาช่วยในคดีลับสุดยอด กว่าที่จะรู้ตัวว่าตัวเองถลำลึกไปกับปฏิบัติการลับแค่ไหน เพื่อนก็พาเขาไปเจอกับประสบการณ์สุดโหดซึ่งการจะปลิดชีวิตทั้งคู่ได้ ทั้งดวลปืน การทรยศหักหลัง และปฏิบัติการจารกรรม,2016,eng,คอมเมดี้,แอคชั่น,
https://us-fbcloud.net/picpost/data/280/280485-qgdj3b-0.n.jpg,horrible bosses (รวมหัวสอยเจ้านายจอมแสบ),แนวคอมเมดี้ ดูได้ที่ apple tv,https://youtu.be/VpUeQV8sdOc,ผู้ได้รับเลือกให้เป็นผู้บริหาร นิค เฮนดริกส์ (เจสัน เบทแมน) ถูกกักตัวเป็นเวลา 12 ชั่วโมงทุกวัน และกินทุกอย่างที่ผู้บริหารจอมป่วน เดฟ ฮาร์เคน (เควิน สเปซีย์) ทำออกมา โดยให้สัญญาว่าจะเลื่อนตำแหน่งให้อย่างสมน้ำสมเนื้อ แต่ตอนนี้เขารู้แล้วว่ามันไม่มีทางเป็นไปได้ ในขณะที่ผู้ช่วยหมอฟัน เดล อาร์บัส (ชาร์ลี เดย์) ต้องต่อสู้ควบคุมตัวเองกับความเอ็กซ์ที่เพิ่มมากขึ้นอย่างไม่หยุดยั้งของ ดร.จูเลีย แฮร์ริส (เจนนิเฟอร์ อนิสตัน) เมื่อเธอปลุกความเร่าร้อนขึ้นมาอย่างกระทันหัน และ เคิร์ต บัคแมน (เจสัน ซุเดคิส) นักบันชีที่เพิ่งเรียนรู้ว่าเจ้าของบริษัทของเขาคนใหม่ บ๊อบบี้ เพลลิต (โคลิน ฟาร์เรลล์) ทำการทุจริต ซึ่งนั่นไม่ได้สร้างความพินาศให้อาชีพการงานของเขาเท่านั้น แต่ยังมีแผนการที่จะปล่อยของเสียที่มีพิษเข้าไปสู่ชุมชนประชากรที่ไม่รู้เรื่อง,2011,eng,คอมเมดี้,,
